// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 0770102F
//  ProductCode: MTi-G-710-2A8G0
//  Firmware Version: 1.4.2
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: General(1.18)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid Acc_X Acc_Y Acc_Z Gyr_X Gyr_Y Gyr_Z
29425 5400000 2022 2 2 14 36 34 55 0.071494 0.030269 9.487663 0.001949 -0.001634 -0.004722
29426 15400000 2022 2 2 14 36 34 55 0.065242 0.039523 9.454508 0.001762 0.001626 -0.000596
29427 25400000 2022 2 2 14 36 34 55 0.071327 0.043275 9.475143 0.003504 -0.002178 -0.000254
29428 35400000 2022 2 2 14 36 34 55 0.082655 0.030558 9.486627 0.001839 -0.002582 -0.001471
29429 45400000 2022 2 2 14 36 34 55 0.063612 0.035106 9.475798 0.002060 -0.001225 -0.002621
29430 55400000 2022 2 2 14 36 34 55 0.064384 0.021193 9.462039 0.000551 -0.000731 -0.002553
29431 65400000 2022 2 2 14 36 34 55 0.059428 0.032127 9.466225 0.001389 0.001013 -0.004343
29432 75400000 2022 2 2 14 36 34 55 0.058610 0.033221 9.475744 0.001382 -0.001011 -0.002730
29433 85400000 2022 2 2 14 36 34 55 0.070646 0.012088 9.467777 -0.000840 0.000985 -0.003882
29434 95400000 2022 2 2 14 36 34 55 0.073848 0.016271 9.474299 -0.001420 -0.002573 -0.001441
29435 105400000 2022 2 2 14 36 34 55 0.070648 0.024498 9.481920 0.001187 -0.001259 -0.001514
29436 115400000 2022 2 2 14 36 34 55 0.078730 0.034619 9.490795 -0.001305 -0.000652 -0.002954
29437 125400000 2022 2 2 14 36 34 55 0.073402 0.028200 9.482336 -0.001383 -0.000407 -0.002562
29438 135400000 2022 2 2 14 36 34 55 0.060321 0.016942 9.481029 0.003966 -0.000434 -0.001117
29439 145400000 2022 2 2 14 36 34 55 0.067872 0.023244 9.493690 0.000804 0.000003 -0.003196
29440 155400000 2022 2 2 14 36 34 55 0.066002 0.024360 9.497107 0.000617 -0.000731 -0.002160
29441 165400000 2022 2 2 14 36 34 55 0.070240 0.029693 9.496026 0.000429 -0.002223 -0.003190
29442 175400000 2022 2 2 14 36 34 55 0.065941 0.042501 9.489943 -0.000355 -0.003538 -0.005185
29443 185400000 2022 2 2 14 36 34 55 0.059597 0.024121 9.483714 0.000450 -0.001392 -0.002657
29444 195400000 2022 2 2 14 36 34 55 0.053351 0.030935 9.468450 0.000610 -0.000623 -0.004338
29445 205400000 2022 2 2 14 36 34 55 0.066886 0.027940 9.479612 -0.000758 -0.000573 -0.006378
29446 215400000 2022 2 2 14 36 34 55 0.047929 0.039001 9.482137 0.000385 -0.001602 -0.002906
29447 225400000 2022 2 2 14 36 34 55 0.076651 0.021053 9.484623 0.004186 0.000099 -0.004580
29448 235400000 2022 2 2 14 36 34 55 0.079902 0.015893 9.478164 -0.000201 -0.001495 -0.002196
29449 245400000 2022 2 2 14 36 34 55 0.073061 0.016759 9.477338 0.001097 -0.001289 -0.002835
29450 255400000 2022 2 2 14 36 34 55 0.055109 0.036054 9.484097 -0.000666 -0.000062 -0.002917
29451 265400000 2022 2 2 14 36 34 55 0.070366 0.028524 9.475455 0.002600 -0.000115 -0.000800
29452 275400000 2022 2 2 14 36 34 55 0.067311 0.042922 9.461013 0.001214 -0.000519 -0.003980
29453 285400000 2022 2 2 14 36 34 55 0.076652 0.017281 9.462523 0.001368 -0.001328 -0.001761
29454 295400000 2022 2 2 14 36 34 55 0.076817 0.027893 9.488080 0.000857 -0.001432 -0.001195
29455 305400000 2022 2 2 14 36 34 55 0.070595 0.034061 9.489954 0.000456 0.000951 -0.004307
29456 315400000 2022 2 2 14 36 34 55 0.065883 0.034577 9.478485 0.000580 0.001362 -0.003277
29457 325400000 2022 2 2 14 36 34 55 0.069272 0.045717 9.456854 0.002715 -0.001022 -0.000759
29458 335400000 2022 2 2 14 36 34 55 0.057457 0.022924 9.492833 0.002138 0.001327 -0.004520
29459 345400000 2022 2 2 14 36 34 55 0.042972 0.032304 9.483964 -0.001979 -0.001949 -0.000200
29460 355400000 2022 2 2 14 36 34 55 0.070800 0.023228 9.475433 -0.000942 -0.001026 -0.005801
29461 365400000 2022 2 2 14 36 34 55 0.076743 0.011614 9.476592 0.000206 -0.000623 -0.003481
29462 375400000 2022 2 2 14 36 34 55 0.074528 0.023207 9.483850 0.000012 -0.001071 -0.004803
29463 385400000 2022 2 2 14 36 34 55 0.069610 0.036544 9.483859 0.000890 0.000100 -0.001628
29464 395400000 2022 2 2 14 36 34 55 0.047809 0.039393 9.481752 -0.000967 0.000911 -0.002351
29465 405400000 2022 2 2 14 36 34 55 0.081441 0.022827 9.477059 0.000599 -0.001103 -0.005583
29466 415400000 2022 2 2 14 36 34 55 0.071634 0.033194 9.486148 -0.002072 -0.003743 -0.005296
29467 425400000 2022 2 2 14 36 34 55 0.073022 0.023985 9.486892 -0.000469 -0.001596 -0.003266
29468 435400000 2022 2 2 14 36 34 55 0.070797 0.034889 9.477011 0.000216 -0.000377 -0.004303
29469 445400000 2022 2 2 14 36 34 55 0.075213 0.021618 9.490326 0.001022 -0.001568 -0.002404
29470 455400000 2022 2 2 14 36 34 55 0.077789 0.029454 9.467155 -0.001448 -0.001527 -0.002553
29471 465400000 2022 2 2 14 36 34 55 0.061627 0.031511 9.477286 0.000362 0.000070 -0.002308
29472 475400000 2022 2 2 14 36 34 55 0.077235 0.024499 9.480078 0.001787 -0.000450 -0.003979
29473 485400000 2022 2 2 14 36 34 55 0.084129 0.020504 9.477083 0.000673 -0.001216 -0.003263
29474 495400000 2022 2 2 14 36 34 55 0.070297 0.023505 9.491052 -0.001181 -0.002358 -0.003160
29475 505400000 2022 2 2 14 36 34 55 0.067311 0.028779 9.476568 -0.000932 0.000361 -0.004594
29476 515400000 2022 2 2 14 36 34 55 0.059879 0.042160 9.477314 0.000952 -0.002538 -0.004473
29477 525400000 2022 2 2 14 36 34 55 0.059233 0.040768 9.492917 0.001322 0.000001 -0.001911
29478 535400000 2022 2 2 14 36 34 55 0.073898 0.032834 9.480455 -0.001719 -0.002322 -0.003016
29479 545400000 2022 2 2 14 36 34 55 0.087744 0.014631 9.485849 0.001859 0.000765 -0.002090
29480 555400000 2022 2 2 14 36 34 55 0.075847 0.010070 9.479623 0.000323 0.002061 -0.003383
29481 565400000 2022 2 2 14 36 34 55 0.068390 0.015932 9.473866 -0.000951 0.000011 -0.003306
29482 575400000 2022 2 2 14 36 34 55 0.074627 0.022056 9.475851 -0.001188 -0.002397 -0.002585
29483 585400000 2022 2 2 14 36 34 55 0.081066 0.026189 9.488112 -0.001105 -0.001178 -0.001695
29484 595400000 2022 2 2 14 36 34 55 0.077433 0.006670 9.477340 0.001044 -0.000665 -0.001873
29485 605400000 2022 2 2 14 36 34 55 0.081051 0.022657 9.493428 -0.000632 -0.002152 -0.001766
29486 615400000 2022 2 2 14 36 34 55 0.075305 0.042019 9.460703 0.000415 -0.001837 -0.004692
29487 625400000 2022 2 2 14 36 34 55 0.062115 0.031300 9.473104 0.002419 -0.000493 -0.003119
29488 635400000 2022 2 2 14 36 34 55 0.072964 0.018843 9.486485 -0.000801 -0.003157 -0.004296
29489 645400000 2022 2 2 14 36 34 55 0.081861 0.021673 9.473249 -0.000142 -0.000548 -0.004088
29490 655400000 2022 2 2 14 36 34 55 0.081164 0.030880 9.474805 -0.001867 0.000016 -0.004133
29491 665400000 2022 2 2 14 36 34 55 0.069225 0.025732 9.472385 -0.000035 -0.000420 -0.001806
29492 675400000 2022 2 2 14 36 34 55 0.073171 0.051669 9.476341 0.001894 0.001041 -0.002093
29493 685400000 2022 2 2 14 36 34 55 0.061371 0.036533 9.475017 -0.001192 -0.000894 -0.003095
29494 695400000 2022 2 2 14 36 34 55 0.081566 0.024727 9.470976 -0.001850 -0.000722 -0.002275
29495 705400000 2022 2 2 14 36 34 55 0.047457 0.046609 9.490165 -0.000133 -0.001009 -0.001984
29496 715400000 2022 2 2 14 36 34 55 0.056561 0.056554 9.480764 0.002867 -0.003352 -0.002605
29497 725400000 2022 2 2 14 36 34 55 0.073304 0.022409 9.491837 0.000336 -0.000512 -0.005193
29498 735400000 2022 2 2 14 36 34 55 0.054896 0.034136 9.469998 0.002888 -0.001638 -0.004970
29499 745400000 2022 2 2 14 36 34 55 0.080696 0.015484 9.474358 0.000335 -0.001394 -0.002301
29500 755400000 2022 2 2 14 36 34 55 0.077274 0.016849 9.470145 0.001755 -0.001080 -0.003939
29501 765400000 2022 2 2 14 36 34 55 0.075681 0.027105 9.478168 0.000064 0.001224 -0.002168
29502 775400000 2022 2 2 14 36 34 55 0.056264 0.038110 9.480689 -0.000431 0.000604 -0.004598
29503 785400000 2022 2 2 14 36 34 55 0.065022 0.039452 9.489919 -0.001047 0.001023 -0.004493
29504 795400000 2022 2 2 14 36 34 55 0.049659 0.059094 9.479572 -0.000991 -0.001283 -0.001917
29505 805400000 2022 2 2 14 36 34 55 0.061109 0.027187 9.486407 0.000069 0.000108 -0.001738
29506 815400000 2022 2 2 14 36 34 55 0.079503 0.000450 9.471623 0.000371 -0.001674 -0.001870
29507 825400000 2022 2 2 14 36 34 55 0.057969 0.018151 9.460063 0.000389 -0.002124 -0.002939
29508 835400000 2022 2 2 14 36 34 55 0.062284 0.033046 9.486440 0.001060 0.000545 0.001119
29509 845400000 2022 2 2 14 36 34 55 0.055862 0.031981 9.477615 0.000732 -0.000802 -0.002518
29510 855400000 2022 2 2 14 36 34 55 0.074384 0.034109 9.472850 -0.001611 -0.002533 -0.002980
29511 865400000 2022 2 2 14 36 34 55 0.085183 0.022967 9.474431 0.002093 0.001431 -0.003911
